"","Local","Amostra","Psalidodon rivularis","Brycon nattereri","Rhamdia aff. quelen","Hoplias intermedius","Trichomycterus sp. ","Harttia sp. 2","Geophagus aff. brasiliensis","Gymnotus aff. sylvius","Phalloceros sp.","Parodon hilarii","Australoheros oblongus","Hasemania nana","Characidium sp. 2","Harttia sp. 1","Psalidodon fasciatus","Trichomycterus aff. alternatus","Astyanax lacustris","Characidium sp. 1","Australoheros sp.","Salminus franciscanus","Piabarchus stramineus","Eigenmannia sp.","Moenkhausia costae","Parotocinclus robustus","Stevardiidae sp.","Characidium lagosantense","Gymnotus aff. carapo","Psalidodon sp. 1","Psalidodon sp. 2","Coptodon rendalli","Leporellus aff. vittatus","Hasemania sp.","Phalloceros uai","Brycon sp.","Prochilodus argenteus","Lepidocharax burnsi","Imparfinis minutus","Hypostomus francisci","Hypostomus sp.","Cetopsorhamdia iheringi","Pimelodella vittata","Pimelodus sp.","Megaleporinus obtusidens","Sternopygus macrurus","Hypomasticus sp.","Piabina argentea","Steindachnerina elegans","Hisonotus sp.","Myleus micans","Phenacogaster franciscoensis"
"11","SC2","SC2B",17894,13412,754,7793,358,0,25,0,14,5918,0,9,0,945,0,71,10,2326,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","SC7","SC7C",3610,1808,101,1874,42,12,249,0,669,728,483,1593,927,264,2862,0,2831,551,186,950,1076,738,0,7,0,0,0,0,0,0,101,204,0,0,772,284,0,65,0,0,0,0,0,419,0,0,0,0,282,172
"13","SC5","SC5C",1238,0,4,527,0,0,1877,0,0,0,0,0,0,0,1339,0,296,0,0,0,0,0,0,0,0,0,0,0,618,0,0,43,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","SC2","SC2C",14394,6198,680,10428,316,0,4,0,9,4048,0,229,0,1480,483,0,13,8,0,3,1680,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15","SC3","SC3A",777,426,47,1049,0,0,0,0,43,116,88,839,0,27,197,11,138,0,0,0,83,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16","SC6","SC6A",8018,8,124,1120,15,0,6900,3616,317,0,1429,0,0,0,5097,0,2516,0,0,0,0,0,0,0,0,0,0,0,4882,244,0,592,1130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17","SC4","SC4A",397,5,39,654,0,0,0,0,0,0,0,0,0,0,0,210,865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","SC4","SC4B",272,0,0,7,0,0,0,0,0,0,0,7,0,0,0,161,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","SC4","SC4C",402,0,42,5,0,0,0,0,0,0,0,0,0,0,0,104,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","SC5","SC5A",1509,0,38,4,0,0,3093,247,0,0,0,0,0,0,645,0,1095,0,0,0,0,0,0,0,0,0,0,0,308,0,0,0,342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","SC5","SC5B",2743,733,58,1560,0,0,6889,3418,0,0,228,0,0,0,3352,0,2232,0,0,0,0,0,0,0,0,0,0,0,4250,1070,327,0,999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
